fid,ID,indNomencl,metodoProd,mi,nome,orgaoEdito,tipoCarta,anoRestitu,anoReambul,anoVoo,areaFolha,latLimNort,latLimSul,longLimLes,longLimOes,recursoOff,recursoOnL,uf,declinacao,datumHoriz,datumVerti,meridianoC,sistemaPro,anoEdicao,numEdicao,anoImpress,numImpress,geoPdf,pdf,metadadoIm,PRIMARYIND
11,11,SE-22-X-B-V,Restituição fotogramétrica,"2297",LEOPOLDO DE BULHÕES,DSG,Topográfica,"1972","1972","1965","2949.995","-16.500","-17.000",,,,,GO,"Em 1998 -18° 50' (Cresce -7,2' ao ano)",Córrego Alegre,Imbituba-SC,"-51",UTM,"1972","1","1998","2",Nã,Nã,Não se aplic,11
12,12,SE-22-X-B-VI,Restituição fotogramétrica,"2298",CARAÍBA,DSG,Topográfica,"1973","1972","1964","2949.995","-16.500","-17.000",,,,,GO,Em 1970 16° 03' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1973","1","1973","1",Nã,Nã,Não se aplic,12
13,13,SE-23-X-B-IV,Restituição fotogramétrica,"2308",BOTUMIRIM,IBGE,Topográfica,"1976","1976","1966","2949.995","-16.500","-17.000","-43.000000","-43.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,MG,Em 1977 19° 12' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1977","1","1977","1",Nã,Sim,Sim,13
14,14,SE-23-X-B-V,Restituição fotogramétrica,"2309",GRÃO MOGOL,IBGE,Topográfica,"1980","1979","1978","2949.995","-16.500","-17.000","-42.500000","-43.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,MG,Em 1980 -19° 54' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1980","1","1980","1",Nã,Sim,Sim,14
15,15,SE-23-X-B-VI,Restituição fotogramétrica,"2310",ARAÇUAÍ,IBGE,Topográfica,"1980","1979","1978","2949.995","-16.500","-17.000","-42.000000","-42.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,MG,Em 1983 -20° 37' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1983","1","1983","1",Nã,Sim,Sim,15
16,16,SE-24-V-A-IV,Restituição fotogramétrica,"2311",ITAOBIM,IBGE,Topográfica,"1980","1979","1978","2949.995","-16.500","-17.000","-41.500000","-42.000003","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MG,Em 1980 -20° 20' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1980","1","1980","1",Nã,Sim,Sim,16
17,17,SB-22-Y-D-III,Restituição fotogramétrica,"1181",RIO TRAIRÃO,IBGE,Topográfica,"1985","1980","1979","3053.328","-6.9999991","-7.4999997","-51.000000","-51.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1986 -16° 07' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,17
18,18,SB-22-Z-C-I,Restituição fotogramétrica,"1182",SERRA DA SERINGA,IBGE,Topográfica,"1981","1979","1967","3053.328","-6.9999991","-7.4999998","-50.500000","-51.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1981 -15° 58' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1981","1","1981","1",Nã,Sim,Sim,18
19,19,SB-22-Z-C-II,Restituição fotogramétrica,"1183",VILA DE RIO MARIA,IBGE,Topográfica,"1981","1979","1967","3053.328","-6.9999992","-7.4999998","-50.000000","-50.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1981 -16° 16' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1981","1","1981","1",Nã,Sim,Sim,19
20,20,SB-22-Z-C-III,Restituição fotogramétrica,"1184",XINGUARA,IBGE,Topográfica,"1981","1977","1967","3053.328","-6.9999992","-7.4999999","-49.500000","-50.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1983 -16° 49' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","2","1983","1",Nã,Sim,Sim,20
21,21,SB-22-Z-D-I,Restituição fotogramétrica,"1185",RIO ANDORINHAS,IBGE,Topográfica,"1981","1977","1967","3053.328","-6.9999992","-7.4999999","-49.000000","-49.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,TO_PA,Em 1983 -17° 07' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","2","1983","1",Nã,Sim,Sim,21
22,22,SC-21-V-C-I,Restituição fotogramétrica,"1477",IGARAPÉ PIRANHA,IBGE,Topográfica,"1986","1981","1980","3038.315","-8.9999991","-9.4999997","-59.499999","-59.999999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,"Em 1988 -11° 10' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Sim,Sim,22
23,23,SC-21-V-C-II,Restituição fotogramétrica,"1478",IGARAPÉ PACUTINGA,IBGE,Topográfica,"1985","1981","1980","3038.315","-8.9999992","-9.4999996","-58.999999","-59.499999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,"Em 1988 -11° 34' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Sim,Sim,23
24,24,SC-21-V-C-III,Restituição fotogramétrica,"1479",ILHA PORTO ESCONDIDO,IBGE,Topográfica,"1985","1981","1980","3038.315","-8.9999991","-9.4999999","-58.499999","-58.999999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,"Em 1988 -11° 55' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Sim,Sim,24
25,25,SC-21-V-D-I,Restituição fotogramétrica,"1480",ILHA DO AMOLAR,IBGE,Topográfica,"1985","1981","1980","3038.315","-8.9999992","-9.4999995","-57.999999","-58.499999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,"Em 1988 -12° 08' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Sim,Sim,25
26,26,SC-21-V-D-II,Restituição fotogramétrica,"1481",SERRA DOS APIACAS,IBGE,Topográfica,"1986","1981","1980","3038.315","-8.9999993","-9.4999998","-57.499999","-57.999999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,"Em 1988 -12° 40' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Sim,Sim,26
27,27,SB-19-Z-C-V,Restituição fotogramétrica,"1226",IGARAPÉ PRETO,DSG,Topográfica,"1983","1983","1982","3049.915",,,,,,,AM,"Em 1984 03° 48' (Cresce 9,8' ao ano)",SAD69,Imbituba-SC,"-69",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,27
28,28,SB-19-Z-C-VI,Restituição fotogramétrica,"1227",FAZENDA BORANGABA,DSG,Topográfica,"1983","1983","1982","3049.915",,,,,,,AM,"Em 1984 04° 13' (Cresce 9,8' ao ano)",SAD69,Imbituba-SC,"-69",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,28
29,29,SB-19-Z-D-IV,Restituição fotogramétrica,"1228",PAUINI,DSG,Topográfica,"1983","1983","1981","3049.915",,,,,,,AM,"Em 1984 04° 37' (Cresce 9,9' ao ano)",SAD69,Imbituba-SC,"-69",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,29
30,30,SA-21-Z-A-III,Restituição fotogramétrica,"0472",VILA DO TABATINGA,DSG,Topográfica,"1982","1979","1979","3074.971","-2.000","-2.500",,,,,PA,"Em 1982 13° 30' (Cresce 7,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,30
31,31,SA-21-Z-B-I,Restituição fotogramétrica,"0473",CURUAI,DSG,Topográfica,"1981","1979","1979","3074.971","-2.000","-2.500",,,,,PA,Em 1982 13° 49' (Cresce 7.3' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,31
32,32,SA-21-Z-B-II,Restituição fotogramétrica,"0474",SANTARÉM,DSG,Topográfica,"1983","1982","1978","3074.971","-2.000","-2.500",,,,,PA,"Em 1983 14° 14' (Cresce 7,3' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,32
33,33,SA-21-Z-B-III,Restituição fotogramétrica,"0475",MONTE ALEGRE,DSG,Topográfica,"1982","1982","1979","3074.971","-2.000","-2.500",,,,,PA,"Em 1983 14° 32' (Cresce 7,2' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,33
34,34,SE-23-V-A-VI,Restituição fotogramétrica,"2301",SERRA DA ALDEIA,DSG,Topográfica,"1971","1970",1964 e 1966,"2949.995","-16.500","-17.000",,,,,MG,"Em 1969 16° 10' (Cresce 8,5' ao ano)",Córrego Alegre,Imbituba-SC,"-45",UTM,"1982","1","1984","3",Nã,Nã,Não se aplic,34
35,35,SE-23-V-B-IV,Restituição fotogramétrica,"2302",SERRA DO BOQUEIRÃO,DSG,Topográfica,"1971","1967",1964 e 1966,"2949.995","-16.500","-17.000",,,,,MG,Em 1969 16°24' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1972","1","1972","1",Nã,Nã,Não se aplic,35
36,36,SE-23-V-B-V,Restituição fotogramétrica,"2303",BONFINÓPOLIS DE MINAS,DSG,Topográfica,"1968","1967","1964","2949.995","-16.500","-17.000",,,,,MG,"Em 1969 16° 47' (Cresce 8,4' ao ano",Córrego Alegre,Imbituba-SC,"-45",UTM,"1970","1","1969","1",Nã,Nã,Não se aplic,36
37,37,SA-21-X-D-II,Restituição fotogramétrica,"0371",IGARAPÉ DO INFERNO,IBGE,Topográfica,"1988","1987","1979","3076.567","-0.9999991","-1.4999998","-54.499999","-54.999999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1988 -15° 25' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Sim,Sim,37
38,38,SA-21-X-D-III,Restituição fotogramétrica,"0372",RIO JAUARI,IBGE,Topográfica,"1988","1987","1979","3076.567","-0.9999993","-1.4999998","-54","-54.499999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1988 -15° 43' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1988","1","1988","1",Nã,Sim,Sim,38
39,39,SA-22-V-C-II,Restituição fotogramétrica,"0374",RIO URUMU,IBGE,Topográfica,"1988","1987","1985","3076.567","-0.9999991","-1.4999998","-53.000000","-53.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,"Em 1988 -16° 15' (Cresce -7,5' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1988","1","1988","1",Nã,Sim,Sim,39
40,40,SB-22-Y-A-V,Restituição fotogramétrica,"1098",IGARAPÉ TIBORNA,IBGE,Topográfica,"1983","1982","1980","3056.515","-6.4999993","-6.9999997","-53.000000","-53.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1983 -14° 42' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Sim,Sim,40
41,41,SB-22-Y-A-VI,Restituição fotogramétrica,"1099",IGARAPÉ TRIUNFO,IBGE,Topográfica,"1983","1982","1980","3056.515","-6.4999992","-6.9999997","-52.500000","-53.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1983 -15° 02' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Sim,Sim,41
42,42,SB-22-Y-B-IV,Restituição fotogramétrica,"1100",RIO XINGU,IBGE,Topográfica,"1983","1982","1980","3056.515","-6.4999991","-6.9999999","-52.000000","-52.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1983 -15° 01' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Sim,Sim,42
43,43,SB-22-Y-B-V,Restituição fotogramétrica,"1101",SÃO FÉLIX DO XINGU,IBGE,Topográfica,"1983","1982","1980","3056.515","-6.4999991","-6.9999999","-51.500000","-52.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1983 -15° 13' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Sim,Sim,43
44,44,SB-22-Y-C-V,Restituição fotogramétrica,"1256",IGARAPÉ DO ANANÁS,IBGE,Topográfica,"1985","1980","1979","3049.915","-7.4999992","-8.0000022","-53.000000","-53.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1986 -14° 42' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,44
45,45,SB-22-Y-C-VI,Restituição fotogramétrica,"1257",IGARAPÉ DO CURUPAITI,IBGE,Topográfica,"1985","1980","1979","3049.915","-7.4999993","-8.0000030","-52.500000","-53.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1986 -15° 02' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,45
46,46,SB-22-Y-D-IV,Restituição fotogramétrica,"1258",IGARAPÉ DO TADEU,IBGE,Topográfica,"1985","1980","1979","3049.915","-7.4999995","-8.0000035","-52.000000","-52.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA,Em 1986 -15° 23' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,46
47,47,SC-22-X-C-IV,Restituição fotogramétrica,"1570",RIBEIRÃO SANTANA,IBGE,Topográfica,"1980","1979","1967","3033.997","-9.500","-10.000","-50.500000","-51.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,PA_MT,Em 1981 -15° 46' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1981","1","1981","1",Nã,Nã,Sim,47
48,48,SC-22-X-C-V,Restituição fotogramétrica,"1571",LAGO GRANDE,IBGE,Topográfica,"1980","1979","1968","3033.997","-9.500","-10.000","-50.000000","-50.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,TO_MT_PA,Em 1981 -16° 03' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1981","1","1981","1",Nã,Sim,Sim,48
49,49,SC-22-X-C-VI,Restituição fotogramétrica,"1572",MARIANÓPOLIS,IBGE,Topográfica,"1977","1976","1967","3033.997","-9.500","-10.000","-49.500000","-50.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,TO,Em 1979 16° 04' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1979","1","1979","1",Nã,Sim,Sim,49
50,50,SB-19-Z-D-V,Restituição fotogramétrica,"1229",PAUINI-E,DSG,Topográfica,"1983","1983","1982","3049.915",,,,,,,AM,Em 1984 05° 04' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-69",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,50
51,51,SB-19-Z-D-VI,Restituição fotogramétrica,"1230",SERINGAL S.LUIS DO MAMORIA,DSG,Topográfica,"1983","1983","1981","3049.915",,,,,,,AM,Em 1984 05°32' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-69",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,51
52,52,SC-22-Y-A-V,Restituição fotogramétrica,"1700",RIO AUAIA-MIÇU,IBGE,Topográfica,"1985","1980","1979","3024.684","-10.500","-11.000","-53.000000","-53.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,Em 1986 -14° 18' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,52
53,53,SC-22-Y-A-VI,Restituição fotogramétrica,"1701",SÃO JOSE DO XINGU,IBGE,Topográfica,"1985","1980","1979","3024.684","-10.500","-11.000","-52.500000","-53.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,Em 1986 -14° 38' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,53
54,54,SC-22-Y-B-IV,Restituição fotogramétrica,"1702",CORGÃO,IBGE,Topográfica,"1985","1980","1979","3024.684","-10.500","-11.000","-52.000000","-52.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,Em 1986 -14° 58' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,54
55,55,SC-22-Y-B-V,Restituição fotogramétrica,"1703",PORTO ALEGRE DO NORTE,IBGE,Topográfica,"1985","1980","1979","3024.684","-10.500","-11.000","-51.500000","-52.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,Em 1986 -15° 21' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,55
56,56,SC-22-Y-B-VI,Restituição fotogramétrica,"1704",CÓRREGO TUCUNARÉ,IBGE,Topográfica,"1985","1980","1979","3024.684","-10.500","-11.000","-51.000000","-51.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MT,Em 1986 -15° 42' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Sim,56
57,57,SG-23-V-A-IV,Desconhecido,"2829",IGUAPE,IGG,Topográfica,Desconhecido,Desconhecido,Desconhecido,,"-24.500","-25.000",,,,,SP,Desconhecido,Desconhecido,Desconhecido,"-45",Desconhecido,"1947","1","1947","1",Nã,Nã,Não se aplic,57
58,58,SD-24-X-A-I,Informação em levantamento,"1904",FEIRA DE SANTANA,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-12.000","-12.500",,,,,BA,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,58
59,59,SC-24-Z-C-IV,Informação em levantamento,"1848",SANTA BÁRBARA,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-11.500","-12.000",,,,,BA,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,59
60,60,SC-24-Z-A-I,Informação em levantamento,"1663",CAIMBÉ,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-10.000","-10.500",,,,,BA,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,60
61,61,SC-24-Z-A-V,Informação em levantamento,"1730",CÍCERO DANTAS,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-10.500","-11.000",,,,,BA_SE,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,61
62,62,SD-24-X-A-III,Informação em levantamento,"1906",PORTO SAUÍPE,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-12.000","-12.500",,,,,BA,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,62
63,63,SC-24-Z-A-II,Informação em levantamento,"1664",JEREMOABO,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-10.000","-10.500",,,,,BA,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,63
64,64,SC-24-Z-C-I,Informação em levantamento,"1791",ARACI,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-11.000","-11.500",,,,,BA,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,64
65,65,SC-24-Z-C-II,Informação em levantamento,"1792",ITAPICURU,IBGE,Planimétrica,Informação em levantamento,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-11.000","-11.500",,,,,BA,Informação em levantamento,Informação em levantamento,Informação em levantamento,"-39",Informação em levantamento,"2006","1",Não se aplica,Não se aplica,Nã,Sim,Não se aplic,65
66,66,SC-20-X-A-IV,Restituição fotogramétrica,"1394",RIO PRETO,IBGE,Topográfica,"1984","1980","1979","3042.408","-8.4999994","-8.9999998","-62.499999","-62.999999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,RO,Em 1984 -07° 34' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1984","1","1984","1",Nã,Sim,Sim,66
67,67,SC-20-X-A-V,Restituição fotogramétrica,"1395",TABAJARA,IBGE,Topográfica,"1984","1980","1979","3042.408","-8.4999992","-9.0000000","-61.999999","-62.499999","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,RO_AM,Em 1984 -07° 57' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1984","1","1984","1",Nã,Sim,Sim,67
