fid,ID,indNomencl,metodoProd,mi,nome,orgaoEdito,tipoCarta,anoRestitu,anoReambul,anoVoo,areaFolha,latLimNort,latLimSul,longLimLes,longLimOes,recursoOff,recursoOnL,uf,declinacao,datumHoriz,datumVerti,meridianoC,sistemaPro,anoEdicao,numEdicao,anoImpress,numImpress,geoPdf,pdf,metadadoIm,PRIMARYIND,Escala
57,57,SB-20-V-B,Compilação,"137",COARI,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3069.044","-4.000","-5.000","-62,9999","-64,4999",,,AM,Em 1989 (Sem informação na carta),SAD69,Imbituba-SC,"-63",UTM,"1989","1","1989","1",Nã,Sim,Não,57,250000
58,58,SB-21-X-A,Compilação,"142",ITAITUBA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3069.044","-4.000","-5.000","-55.500","-57.000",,,PA,Em 1980 12° 50' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,58,250000
59,59,SB-20-Z-D,Compilação,"218",SUMAÚMA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3053.328","-7.000","-8.000","-59,9999","-61,4999",,,AM,Em 1981 09° 09' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1981","1","1981","1",Nã,Nã,Não se aplic,59,250000
60,60,SB-21-Z-B,Compilação,"195",RIO CURUÁ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3059.475","-6.000","-7.000","-54.000","-55.500",,,PA,Em 1985 -13° 44' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1985","1","1985","1",Nã,Nã,Não,60,250000
61,61,SB-22-Y-A,Compilação,"196",IGARAPÉ TRIUNFO,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3059.475","-6.000","-7.000","-52.500","-54.000",,,PA,Em 1986 -14° 54' (Cresce 7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Nã,Não,61,250000
62,62,SB-22-Z-A,Compilação,"198",SERRA DOS CARAJÁS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3059.475","-6.000","-7.000","-49.500","-51.000",,,PA,Em 1986 -16° 49' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Nã,Não,62,250000
63,63,SE-21-Y-D,Compilação,"443",CORUMBÁ,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2909.459","-19.000","-20.000","-57.000","-58.500",,,MS,Em 1982 09° 30' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,63,250000
64,64,SE-21-Z-C,Compilação,"444",PORTO CARRERO,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2909.459","-19.000","-20.000","-55.500","-57.000",,,MS,Em 1982 10° 47' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,64,250000
65,65,SE-21-Z-D,Compilação,"445",CAMAPUÃ,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2909.459","-19.000","-20.000","-54.000","-55.500",,,MS,Em 1982 12° 00' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,65,250000
66,66,SC-24-Z-A,Restituição fotogramétrica,"311",JEREMOABO,IBGE,Topográfica,"1952","1950","1950","3029.453","-10.000","-11.000","-37.500","-39.000",,,BA_SE,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1952","1","1952","1",Nã,Nã,Não,66,250000
67,67,SC-24-Z-B,Restituição fotogramétrica,"312",ARACAJU,IBGE,Topográfica,"1948, 1949 e 1950","1948, 1949 e 1950","1948, 1949 e 1950","3029.453","-10.000","-11.000","-36.000","-37.500",,,AL_SE,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1961","1","1961","1",Nã,Nã,Não,67,250000
68,68,SC-19-Y-D,Compilação,290-A,XAPURI E BRASILÉIA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3019.69","-11.000","-12.000","-69.000","-70.500",,,AC,"Em 1983 02° 56' 09"" (Cresce 9' ao ano)",SAD69,Imbituba-SC,"-69",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,68,250000
69,69,SD-20-X-A,Compilação,"335",PEDRAS NEGRAS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-61,4999","-62,9999",,,RO,"Em 1987 -07° 40' (Cresce -8,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,69,250000
70,70,SD-20-X-B,Compilação,"336",VILHENA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-59,9999","-61,5",,,MT_RO,"Em 1988 -09° 45' (Cresce -9,5' ao ano)",SAD69,Imbituba-SC,"-63",UTM,"1988","1","1988","1",Nã,Sim,Não,70,250000
71,71,SA-22-X-C,Compilação,"083",BREVES,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3076.567","-1.000","-2.000","-49.500","-51.000",,,PA,Em 1986 -17° 18' (Cresce 6' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Sim,Não,71,250000
72,72,SE-23-V-B,Compilação,"411",SÃO ROMÃO,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-45.000","-46.500",,,MG,Em 1983 -18° 40' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1982","1","1982","1",Nã,Nã,Não,72,250000
73,73,SE-23-X-A,Compilação,"412",MONTES CLAROS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-43.500","-45.000",,,MG,Em 1982 -19° 19' (Cresce -8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1982","1","1982","1",Nã,Nã,Não,73,250000
74,74,SE-23-X-B,Compilação,"413",ARAÇUAÍ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-42.000","-43.500",,,MG,Em 1982 -20° 12' (Cresce -8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1982","1","1982","1",Nã,Sim,Não,74,250000
75,75,SA-23-V-D,Interpretação de mosaico de radar,"086",TURIAÇU,RADAM,Planimétrica,Não se aplica,1971 e 1973,"1971","3076.567","-1.000","-2.000","-45.000","-46.500",,,MA_PA,Em 1973 17° 55' (Cresce 6' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1973","1","1973","1",Nã,Nã,Não,75,250000
76,76,SA-23-V-C,Interpretação de mosaico de radar,"085",CASTANHAL,RADAM,Planimétrica,Não se aplica,1971 e 1973,"1971","3076.567","-1.000","-2.000","-46.500","-48.000",,,PA,Em 1973 17° 14' (Cresce 6' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1973","1","1973","1",Nã,Nã,Não,76,250000
77,77,SA-22-V-D,Interpretação de mosaico de radar,"082",GURUPÁ,RADAM,Planimétrica,Não se aplica,1971 e 1973,"1971","3076.567","-1.000","-2.000","-51.000","-52.500",,,AP_PA,Em 1973 14° 52' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1973","1","1973","1",Nã,Nã,Não,77,250000
78,78,SC-21-X-A,Interpretação de mosaico de radar,"248",SERRA DO CACHIMBO,RADAM,Planimétrica,Não se aplica,"1973","1971","3046.274","-8.000","-9.000","-55.500","-57.000",,,PA,Em 1974 11° 16' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1974","1","1974","1",Nã,Nã,Não,78,250000
